               time,               Date,           Rainfall,      Inifiltration,         Runoff@end,       WaterStorage,      LeftDischarge,      RightDischarge
  45301.2500  01/10/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45301.2917  01/10/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45301.3333  01/10/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45301.3750  01/10/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45301.4167  01/10/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45301.4583  01/10/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45301.5000  01/10/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45301.5417  01/10/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45301.5833  01/10/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45301.6250  01/10/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45301.6667  01/10/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45301.7083  01/10/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45301.7500  01/10/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45301.7917  01/10/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45301.8333  01/10/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45301.8750  01/10/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45301.9167  01/10/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45301.9583  01/10/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45302.0000  01/11/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45302.0417  01/11/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45302.0833  01/11/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45302.1250  01/11/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45302.1667  01/11/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45302.2083  01/11/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45302.2500  01/11/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45302.2917  01/11/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45302.3333  01/11/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45302.3750  01/11/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45302.4167  01/11/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45302.4583  01/11/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45302.5000  01/11/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45302.5417  01/11/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45302.5833  01/11/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45302.6250  01/11/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45302.6667  01/11/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45302.7083  01/11/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45302.7500  01/11/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45302.7917  01/11/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45302.8333  01/11/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45302.8750  01/11/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45302.9167  01/11/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45302.9583  01/11/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45303.0000  01/12/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45303.0417  01/12/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45303.0833  01/12/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45303.1250  01/12/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45303.1667  01/12/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45303.2083  01/12/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45303.2500  01/12/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45303.2917  01/12/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45303.3333  01/12/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45303.3750  01/12/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45303.4167  01/12/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45303.4583  01/12/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45303.5000  01/12/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45303.5417  01/12/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45303.5833  01/12/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45303.6250  01/12/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45303.6667  01/12/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45303.7083  01/12/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45303.7500  01/12/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45303.7917  01/12/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45303.8333  01/12/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45303.8750  01/12/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45303.9167  01/12/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45303.9583  01/12/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45304.0000  01/13/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45304.0417  01/13/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45304.0833  01/13/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45304.1250  01/13/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45304.1667  01/13/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45304.2083  01/13/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45304.2500  01/13/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45304.2917  01/13/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45304.3333  01/13/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45304.3750  01/13/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45304.4167  01/13/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45304.4583  01/13/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45304.5000  01/13/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45304.5417  01/13/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45304.5833  01/13/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45304.6250  01/13/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45304.6667  01/13/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45304.7083  01/13/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45304.7500  01/13/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45304.7917  01/13/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45304.8333  01/13/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45304.8750  01/13/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45304.9167  01/13/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45304.9583  01/13/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45305.0000  01/14/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45305.0417  01/14/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45305.0833  01/14/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45305.1250  01/14/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45305.1667  01/14/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45305.2083  01/14/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45305.2500  01/14/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45305.2917  01/14/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45305.3333  01/14/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45305.3750  01/14/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45305.4167  01/14/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45305.4583  01/14/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45305.5000  01/14/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45305.5417  01/14/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45305.5833  01/14/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45305.6250  01/14/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45305.6667  01/14/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45305.7083  01/14/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45305.7500  01/14/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45305.7917  01/14/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45305.8333  01/14/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45305.8750  01/14/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45305.9167  01/14/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45305.9583  01/14/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45306.0000  01/15/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45306.0417  01/15/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45306.0833  01/15/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45306.1250  01/15/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45306.1667  01/15/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45306.2083  01/15/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45306.2500  01/15/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45306.2917  01/15/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45306.3333  01/15/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45306.3750  01/15/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45306.4167  01/15/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45306.4583  01/15/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45306.5000  01/15/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45306.5417  01/15/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45306.5833  01/15/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45306.6250  01/15/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45306.6667  01/15/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45306.7083  01/15/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45306.7500  01/15/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45306.7917  01/15/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45306.8333  01/15/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45306.8750  01/15/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45306.9167  01/15/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45306.9583  01/15/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45307.0000  01/16/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45307.0417  01/16/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45307.0833  01/16/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45307.1250  01/16/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45307.1667  01/16/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45307.2083  01/16/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45307.2500  01/16/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45307.2917  01/16/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45307.3333  01/16/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45307.3750  01/16/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45307.4167  01/16/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45307.4583  01/16/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45307.5000  01/16/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45307.5417  01/16/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45307.5833  01/16/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45307.6250  01/16/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45307.6667  01/16/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45307.7083  01/16/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45307.7500  01/16/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45307.7917  01/16/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45307.8333  01/16/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45307.8750  01/16/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45307.9167  01/16/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45307.9583  01/16/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45308.0000  01/17/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45308.0417  01/17/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45308.0833  01/17/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45308.1250  01/17/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45308.1667  01/17/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45308.2083  01/17/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45308.2500  01/17/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45308.2917  01/17/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45308.3333  01/17/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45308.3750  01/17/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45308.4167  01/17/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45308.4583  01/17/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45308.5000  01/17/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45308.5417  01/17/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45308.5833  01/17/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45308.6250  01/17/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45308.6667  01/17/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45308.7083  01/17/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45308.7500  01/17/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45308.7917  01/17/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45308.8333  01/17/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45308.8750  01/17/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45308.9167  01/17/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45308.9583  01/17/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45309.0000  01/18/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45309.0417  01/18/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45309.0833  01/18/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45309.1250  01/18/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45309.1667  01/18/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45309.2083  01/18/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45309.2500  01/18/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45309.2917  01/18/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45309.3333  01/18/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45309.3750  01/18/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45309.4167  01/18/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45309.4583  01/18/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45309.5000  01/18/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45309.5417  01/18/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45309.5833  01/18/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45309.6250  01/18/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45309.6667  01/18/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45309.7083  01/18/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45309.7500  01/18/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45309.7917  01/18/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45309.8333  01/18/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45309.8750  01/18/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45309.9167  01/18/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45309.9583  01/18/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45310.0000  01/19/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45310.0417  01/19/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45310.0833  01/19/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45310.1250  01/19/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45310.1667  01/19/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45310.2083  01/19/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45310.2500  01/19/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45310.2917  01/19/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45310.3333  01/19/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45310.3750  01/19/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45310.4167  01/19/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45310.4583  01/19/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45310.5000  01/19/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45310.5417  01/19/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45310.5833  01/19/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  45310.6250  01/19/2024        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
